age,education_years,weekly_workhours,digital_index,social_participation_index,gender_male,disabled,social_participant,agri_worker,disability_severity_ord,disability_vision,disability_mental,disability_walking,disability_hearing,disability_communication,disability_hand_finger,no_disability,digital_status,workhours_missing,region_Bali_Nusa,region_Eastern,region_Java,region_Kalimantan,region_Sulawesi,region_Sumatra
23.0,12.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
45.0,6.0,12.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
53.0,1.0,84.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
38.0,6.0,48.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
70.0,6.0,0.0,0.0,0.33333334,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
24.0,1.0,36.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
25.0,12.0,50.0,1.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
53.0,6.0,18.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
19.0,12.0,42.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
16.0,9.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
68.0,6.0,30.0,0.0,0.33333334,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
48.0,6.0,8.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
39.0,12.0,42.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
42.0,18.0,46.0,2.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
44.0,6.0,60.0,1.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
62.0,6.0,36.0,0.0,0.33333334,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
18.0,12.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
43.0,12.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
42.0,12.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
20.0,12.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
22.0,9.0,70.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
36.0,12.0,39.0,3.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0
38.0,12.0,48.0,0.0,0.6666667,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
52.0,1.0,36.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
19.0,12.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
23.0,12.0,8.0,3.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
45.0,1.0,25.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
66.0,1.0,14.0,0.0,0.33333334,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47.0,1.0,59.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
27.0,12.0,35.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
44.0,1.0,56.0,2.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
18.0,9.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
54.0,12.0,42.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
16.0,1.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
38.0,12.0,28.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
44.0,16.0,40.0,3.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0
50.0,6.0,35.0,1.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
59.0,9.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
15.0,9.0,0.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
64.0,1.0,24.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
21.0,12.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
48.0,9.0,49.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
40.0,1.0,14.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
73.0,6.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
16.0,6.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
32.0,16.0,4.0,1.0,0.6666667,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0
19.0,12.0,0.0,0.0,0.33333334,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
44.0,9.0,44.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
52.0,12.0,12.0,0.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
39.0,12.0,60.0,2.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1
32.0,9.0,48.0,1.0,0.33333334,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0
54.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
