group,mean,std,count,mean_abs,subgroup_dimension
Higher_education,-0.5251071175193018,0.7031492245168667,297,0.7939413123675347,edu_group
Lower_education,-0.7603890188826387,0.45605372018024654,203,0.8299710874741835,edu_group
Agri,-0.9048375322498655,0.37370633226224703,7,0.9048375322498657,agri_group
Non_agri,-0.6165961906909924,0.6273325455498132,493,0.8072025107599755,agri_group
Disabled,-0.7206749870159072,0.46773689564498444,33,0.8231612913130001,disability_group
Non_disabled,-0.6135621202674162,0.6346259663869733,467,0.8075382824777045,disability_group
Female,-0.6806785105896307,0.5595917880656109,251,0.840249677492179,gender_group
Male,-0.5601023236080763,0.6807640095912021,249,0.7766346645778317,gender_group
Bali_Nusa,-0.7394796807591041,0.5076886012955653,34,0.8607701693784187,region_group
Eastern,-0.8129333665606928,0.41891950215477236,55,0.8849167992043714,region_group
Java,-0.6457010214671011,0.7207621527898641,129,0.8818766983441211,region_group
Kalimantan,-0.5659931272246148,0.6339051710278488,61,0.7600657146752204,region_group
Sulawesi,-0.619774030244254,0.5591276620810807,80,0.7717984082918591,region_group
Sumatra,-0.518150393477041,0.6408272935292101,141,0.7409795423431318,region_group
